"exposure","N","estimate","ci_lb","ci_ub","est_str"
"despojo_tierras",31464,2.60371577485562,2.49071665356121,2.72184145335798,"2.60 (2.49 - 2.72)"
"hostigamientos",82845,0.957948596885831,0.930438103779599,0.986272499533088,"0.96 (0.93 - 0.99)"
"amenaza",520805,0.877945678885553,0.865215844393336,0.890862806164015,"0.88 (0.87 - 0.89)"
"confinamiento",75961,0.333710401802968,0.311561492788608,0.357433876936317,"0.33 (0.31 - 0.36)"
"violenciasexual",33715,2.47058808896503,2.40461190716893,2.53837448244287,"2.47 (2.40 - 2.54)"
"desparacion",160499,1.04324082856857,1.02185626614679,1.06507290941845,"1.04 (1.02 - 1.07)"
"desplazamiento",7540257,1.08602874472648,1.07762481707716,1.09449821095548,"1.09 (1.08 - 1.09)"
"homocidio",919051,0.801239627634423,0.792420297317568,0.810157113674321,"0.80 (0.79 - 0.81)"
"lesion_fis",13880,1.39707899964199,1.3076636859183,1.49260834590662,"1.40 (1.31 - 1.49)"
"lesion_psic",13949,1.25421805486001,1.14967857640702,1.36826323584542,"1.25 (1.15 - 1.37)"
"minas",11250,1.254237472841,1.0983215223575,1.432286999987,"1.25 (1.10 - 1.43)"
"perdida_bienes",120168,0.762542297105299,0.74229255679725,0.783344450311454,"0.76 (0.74 - 0.78)"
"secuestro",33487,1.03292794485958,0.984545023478312,1.08368851990377,"1.03 (0.98 - 1.08)"
"tortura",9912,1.43196957476859,1.33784724738295,1.53271374372084,"1.43 (1.34 - 1.53)"
"reclut_ninos",7756,0.756131690616932,0.664614901905587,0.86025024704673,"0.76 (0.66 - 0.86)"
