"exposure","N","estimate","ci_lb","ci_ub","est_str"
"despojo_tierras",13053,3.37207137772173,3.12222177528137,3.64191469884466,"3.37 (3.12 - 3.64)"
"hostigamientos",42880,0.976792368936681,0.930050605233222,1.02588324403453,"0.98 (0.93 - 1.03)"
"amenaza",234475,0.969975077542644,0.947363128672858,0.993126735227576,"0.97 (0.95 - 0.99)"
"confinamiento",46609,0.272973751628151,0.24093440262677,0.309273678916571,"0.27 (0.24 - 0.31)"
"violenciasexual",14421,2.85042825429814,2.72922501107983,2.97701406073751,"2.85 (2.73 - 2.98)"
"desparacion",112395,0.949619051631044,0.92114037672901,0.97897819485763,"0.95 (0.92 - 0.98)"
"desplazamiento",7023767,1.15359179874579,1.14073938055013,1.1665890218428,"1.15 (1.14 - 1.17)"
"homocidio",734064,0.687378076349526,0.67657889824964,0.698349624956288,"0.69 (0.68 - 0.70)"
"lesion_fis",5131,1.71302383867894,1.51191412075475,1.94088449310697,"1.71 (1.51 - 1.94)"
"lesion_psic",7830,1.14970694143525,0.999765173260423,1.32213652419364,"1.15 (1.00 - 1.32)"
"minas",6461,1.23509309712433,0.962254444116313,1.58529271326471,"1.24 (0.96 - 1.59)"
"perdida_bienes",67122,1.00604571464844,0.961150144126343,1.0530383688206,"1.01 (0.96 - 1.05)"
"secuestro",19553,0.934212413447464,0.866644486223843,1.00704827332613,"0.93 (0.87 - 1.01)"
"tortura",4196,1.45841842381093,1.28790167300927,1.65151140299499,"1.46 (1.29 - 1.65)"
"reclut_ninos",5107,0.623833876998405,0.504035443003905,0.772105834009466,"0.62 (0.50 - 0.77)"
