"exposure","N","estimate","ci_lb","ci_ub","est_str"
"despojo_tierras",31464,3.26163180930558,3.17842439827862,3.34701749245176,"3.26 (3.18 - 3.35)"
"hostigamientos",82845,1.05428114737444,1.03113304407754,1.07794890687799,"1.05 (1.03 - 1.08)"
"amenaza",520805,0.895247722960676,0.885540864209899,0.905060983471795,"0.90 (0.89 - 0.91)"
"confinamiento",75961,0.31620737648404,0.30345868300573,0.329491659136448,"0.32 (0.30 - 0.33)"
"violenciasexual",33715,3.07771748300992,3.00208672164766,3.15525358975178,"3.08 (3.00 - 3.16)"
"desparacion",160499,1.13369822575692,1.11473849040186,1.15298043276595,"1.13 (1.11 - 1.15)"
"desplazamiento",7540257,0.979852563990341,0.97410161006862,0.985637470705762,"0.98 (0.97 - 0.99)"
"homocidio",919051,0.868976405894135,0.861781970953209,0.876230902307526,"0.87 (0.86 - 0.88)"
"lesion_fis",13880,0.99135757950537,0.938251107256634,1.04746996069777,"0.99 (0.94 - 1.05)"
"lesion_psic",13949,1.76581996655404,1.67888552066983,1.85725596885061,"1.77 (1.68 - 1.86)"
"minas",11250,0.6982369922183,0.646635315463004,0.753956497029511,"0.70 (0.65 - 0.75)"
"perdida_bienes",120168,1.11498250011248,1.09447878543475,1.1358703266809,"1.11 (1.09 - 1.14)"
"secuestro",33487,0.898486204404254,0.864398889160635,0.933917742870611,"0.90 (0.86 - 0.93)"
"tortura",9912,1.41941906595551,1.33932305830359,1.50430508330821,"1.42 (1.34 - 1.50)"
"reclut_ninos",7756,0.693467487227016,0.631303351446052,0.761752895401897,"0.69 (0.63 - 0.76)"
