"exposure","N","estimate","ci_lb","ci_ub","est_str"
"despojo_tierras",13053,4.78332750601586,4.57963012656168,4.99608514170249,"4.78 (4.58 - 5.00)"
"hostigamientos",42880,1.18029674837446,1.1377200803248,1.22446675444599,"1.18 (1.14 - 1.22)"
"amenaza",234475,1.14713557206069,1.12740433805529,1.16721213168018,"1.15 (1.13 - 1.17)"
"confinamiento",46609,0.309783632195861,0.28817519720113,0.333012347032357,"0.31 (0.29 - 0.33)"
"violenciasexual",14421,3.9355178826348,3.78219750878908,4.09505346258269,"3.94 (3.78 - 4.10)"
"desparacion",112395,1.04336531183396,1.01779488188491,1.06957815696844,"1.04 (1.02 - 1.07)"
"desplazamiento",7023767,1.00972140587275,1.00131766605276,1.01819567560084,"1.01 (1.00 - 1.02)"
"homocidio",734064,0.743014026974063,0.734130460365559,0.752005091854262,"0.74 (0.73 - 0.75)"
"lesion_fis",5131,1.21091299688216,1.09496638446589,1.33913726194744,"1.21 (1.09 - 1.34)"
"lesion_psic",7830,1.80784073457462,1.67298913901885,1.95356206765575,"1.81 (1.67 - 1.95)"
"minas",6461,0.612411817267316,0.535800822024066,0.699976966276119,"0.61 (0.54 - 0.70)"
"perdida_bienes",67122,1.20681285651401,1.16986006407194,1.24493289015972,"1.21 (1.17 - 1.24)"
"secuestro",19553,0.904655520382078,0.85147646140345,0.961155883521235,"0.90 (0.85 - 0.96)"
"tortura",4196,1.57562551446819,1.41991324128571,1.74841369856879,"1.58 (1.42 - 1.75)"
"reclut_ninos",5107,0.697190179176129,0.606233954435623,0.80179300810057,"0.70 (0.61 - 0.80)"
